-6.5,3.2748743718592968,-1.126245534772496
-3.5,3.2959798994974876,-1.126245534772496
-1.4,3.3804020100502514,-1.126245534772496
6.5,3.3909547738693471,-1.126245534772496
8.5,3.5281407035175878,-1.126245534772496
11.5,3.222110552763819,-1.126245534772496
14.5,3.3804020100502514,-1.126245534772496
16.5,3.285427135678392,-1.126245534772496
18.5,3.2537688442211055,-1.126245534772496
21.5,3.2959798994974876,-1.126245534772496
23.5,3.5703517587939704,-1.126245534772496
26.5,3.4753768844221105,-1.126245534772496
